unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
11832;22.10.2023;1;foot;day;0;NOS;*51;67. Wiler OL;https://olregiowil.ch/termine/kalender/eventdetail/854/14/wiler-ol;OL Regio Wil;Ruerwald/ Degersheim;;732850;248675;;1;08.12.2022 16:39
11903;22.10.2023;1;foot;day;0;BE/SO;*52;54. Emmentaler OL;https://www.olgskandia.ch/;OLG Skandia;Blapbach-Trubschachen;vakant;;;;0;08.12.2022 16:39
11932;22.10.2023;1;foot;day;0;TI;148;12. TMO O-92 Isone Nord;http://www.asti-ticino.ch/co/;O-92 Piano di Magadino;Isone Nord;;;;08.10.2023;5;07.01.2023 12:32
11728;28.10.2023;1;foot;day;0;NWS;*53;Fricktaler OL (ASJM-Final);;OLK Fricktal;Steppberg;;;;;0;08.12.2022 16:40
11864;28.10.2023;1;foot;day;0;BE/SO;*54;63. Herzogenbuchser OL;https://www.olgherzogenbuchsee.ch/;OLG Herzogenbuchsee;Herzogenbuchsee;Herzogenbuchsee;;;;0;08.12.2022 16:40
11801;29.10.2023;1;foot;day;0;ZH/SH;*55;Zürcher Einzel OL / JOM-Schlusslauf;;OLG Zürich / OLK Piz Hasi;Adlisberg;;;;;0;08.12.2022 16:40
11833;29.10.2023;1;foot;day;0;NOS;*56;47. Oberthurgauer OL;;OL Amriswil;Bätershausen;;;;;0;08.12.2022 16:40
11865;29.10.2023;1;foot;day;0;BE/SO;405T;80. Berner Team OL;https://www.olgherzogenbuchsee.ch/;OLG Herzogenbuchsee;Unterwald;Herzogenbuchsee;;;;0;08.12.2022 16:59
11813;29.10.2023;1;foot;day;0;NWS;151;OL-Galoppen;;Nachwuchskader ROLV NWS;Kei-Tiersteinberg;;;;;5;08.12.2022 17:16
11618;04.11.2023;1;foot;day;0;AG;;Präsidentenkonferenz;;Swiss Orienteering;Aarau;;;;;0;10.01.2022 16:17
11479;05.11.2023;1;foot;day;1;ZH/SH;TOM;Team OL Schweizermeisterschaft;;OLG Dachsen;Ellikerholz;;;;;0;02.11.2021 20:11
11619;11.11.2023;1;foot;day;0;;;O-Fest;;Swiss Orienteering;tbd;;;;;0;10.01.2022 16:19
11620;18.11.2023;1;foot;day;0;BE/SO;;Zentralkurs;;Swiss Orienteering;Magglingen;;;;;0;10.01.2022 16:19
11621;19.11.2023;1;foot;day;0;BE/SO;;Zentralkurs;;Swiss Orienteering;Magglingen;;;;;0;10.01.2022 16:20
11623;25.11.2023;1;foot;day;0;BE/SO;;Veranstalter-Tagung;;Swiss Orienteering;Olten;;;;;0;10.01.2022 16:21
